US
1.0000000e+00 -9.2999927e-05
9.7065938e-01 8.5308161e-03
9.4131876e-01 1.6720562e-02
9.1197814e-01 2.4476256e-02
8.8263752e-01 3.1797873e-02
8.5329690e-01 3.8653067e-02
8.2395628e-01 4.4995829e-02
7.9461566e-01 5.0859386e-02
7.6527503e-01 5.6377660e-02
7.3593441e-01 6.1559432e-02
7.0659389e-01 6.6319424e-02
6.7725327e-01 7.0627366e-02
6.4791255e-01 7.4445245e-02
6.1857193e-01 7.7729666e-02
5.8923131e-01 8.0517575e-02
5.5989079e-01 8.2943167e-02
5.3055017e-01 8.5011014e-02
5.0120945e-01 8.6601257e-02
4.7186883e-01 8.7672560e-02
4.4252826e-01 8.8240179e-02
4.1318764e-01 8.8322147e-02
3.8384707e-01 8.7918876e-02
3.5450640e-01 8.7031691e-02
3.2516578e-01 8.5657817e-02
2.9582510e-01 8.3746481e-02
2.6648453e-01 8.1279348e-02
2.3714399e-01 7.8185605e-02
2.0780334e-01 7.4385409e-02
1.7846277e-01 6.9841682e-02
1.4912203e-01 6.4444927e-02
1.1978147e-01 5.8101634e-02
9.0440850e-02 5.0266016e-02
6.1100234e-02 4.0705914e-02
3.1759616e-02 2.8412354e-02
2.4190003e-03 6.6239990e-03
LS
1.000000e+00 -9.2999727e-05
9.705889e-01 -3.5012175e-04
9.411769e-01 -7.0085948e-04
9.117648e-01 -1.1454854e-03
8.823537e-01 -2.0640530e-03
8.529417e-01 -3.7992555e-03
8.235296e-01 -6.1585489e-03
7.941175e-01 -8.5609031e-03
7.647065e-01 -1.0975274e-02
7.352944e-01 -1.3528585e-02
7.058823e-01 -1.6263540e-02
6.764703e-01 -1.9101212e-02
6.470592e-01 -2.1923101e-02
6.176471e-01 -2.4721536e-02
5.882351e-01 -2.7443382e-02
5.588230e-01 -3.0080122e-02
5.294129e-01 -3.2576822e-02
5.000009e-01 -3.4890503e-02
4.705888e-01 -3.7003791e-02
4.411777e-01 -3.8855901e-02
4.117652e-01 -4.0432089e-02
3.823531e-01 -4.1600258e-02
3.529415e-01 -4.2315720e-02
3.235305e-01 -4.2351225e-02
2.941189e-01 -4.1470647e-02
2.647068e-01 -3.9553584e-02
2.352943e-01 -3.6293516e-02
2.058830e-01 -3.1925837e-02
1.764716e-01 -2.7889645e-02
1.470593e-01 -2.4422816e-02
1.176471e-01 -2.1653894e-02
8.823622e-02 -1.9635277e-02
5.882447e-02 -1.7097571e-02
2.941278e-02 -1.2484251e-02
9.999997e-07 -9.2999727e-05
