US
0.00000	0.00000
0.00049	0.00403
0.00509	0.01446
0.01393	0.02573
0.02687	0.03729
0.04383	0.04870
0.06471	0.05964
0.08936	0.06984
0.11761	0.07904
0.14925	0.08707
0.18404	0.09374
0.22169	0.09892
0.26187	0.10247
0.30422	0.10425
0.34839	0.10405
0.39438	0.10162
0.44227	0.09729
0.49172	0.09166
0.54204	0.08515
0.59256	0.07801
0.64262	0.07047
0.69155	0.06272
0.73872	0.05493
0.78350	0.04724
0.82530	0.03977
0.86357	0.03265
0.89779	0.02594
0.92749	0.01974
0.95224	0.01400
0.97197	0.00862
0.98686	0.00398
0.99656	0.00098
1.00000	0.00000
LS
0.00000 0.00000
0.00073	-.00439
0.00709	-.01154
0.01956	-.01883
0.03708	-.02594
0.05933	-.03254
0.08609	-.03847
0.11708	-.04361
0.15200	-.04787
0.19050	-.05121
0.23218	-.05357
0.27659	-.05494
0.32326	-.05529
0.37167	-.05462
0.42127	-.05291
0.47150	-.05009
0.52175	-.04614
0.57122	-.04063
0.62019	-.03250
0.67014	-.02231
0.72107	-.01221
0.77156	-.00364
0.82012	0.00278
0.86536	0.00667
0.90576	0.00792
0.93978	0.00696
0.96638	0.00478
0.98520	0.00242
0.99633	0.00065
1.00000	0.00000
